"Table 5. Poverty Incidence Among Individuals Residing in Urban Areas, by Region: 2015, 2018, and 2021"

"Geolocation";"Estimate (%) 2015";"Estimate (%) 2018";"Estimate (%) 2021"
"PHILIPPINES ¹ ²";13.2;9.3;11.6
"..NCR ¹ ²";4.2;2.3;3.6
"..CAR";*;4.9;5.1
"..Region I";14.5;*;12.7
"..Region II";*;*;12.9
"..Region III ²";6.4;5.4;11.0
"..Region IV-A ¹ ²";8.4;5.0;8.2
"..MIMAROPA";*;12.5;16.2
"..Region V ¹ ²";27.5;16.8;22.2
"..Region VI ¹";25.8;14.4;16.4
"..Region VII ¹ ²";21.9;10.8;18.1
"..Region VIII";*;20.0;17.1
"..Region IX";14.3;16.1;14.4
"..Region X ¹ ²";26.7;16.4;20.2
"..Region XI";13.8;13.7;12.4
"..Region XII excluding Cotabato City";24.9;20.7;21.5
"..Caraga ¹ ²";32.1;21.1;27.3
"..BARMM including Cotabato City ² ?";52.8;54.5;37.9
