"Table 2. Annual Per Capita Poverty Threshold and Poverty Incidence Among Population with Measures of Precision, by Region and Province: 2015, 2018, and 2021p"

"Geolocation";"Annual Per Capita Poverty Threshold (in PhP) 2015";"Annual Per Capita Poverty Threshold (in PhP) 2018";"Annual Per Capita Poverty Threshold (in PhP) 2021p";"Poverty Incidence among Population (%) 2015";"Poverty Incidence among Population (%) 2018";"Poverty Incidence among Population (%) 2021p"
"PHILIPPINES 1/, 2/";22747;25813;28871;23;17;18
"..National Capital Region (NCR) 1/, 2/";25188;28682;32978;4;2;3
"....1st District b/, c/, d/";25188;28682;32978;5;3;2
"....2nd District b/, c/";25188;28682;32978;3;2;3
"....3rd District 2/, b/";25188;28682;32978;4;3;5
"....4th District 1/, 2/";25188;28682;32978;5;1;4
"..Cordillera Administrative Region (CAR) 1/, 2/";22985;24907;28304;23;12;10
"....Abra 1/";21294;23596;29321;29;19;22
"....Apayao 1/, 2/, b/, d/";23310;23135;25694;43;20;7
"....Benguet 1/, b/";21935;24158;27519;4;6;6
"....Ifugao 1/, 2/";25133;26429;28734;42;15;8
"....Kalinga 1/, 2/";21267;24219;25447;41;12;8
"....Mt. Province 1/";24536;27815;31063;45;25;22
"..Region I (Ilocos Region) 1/, 2/";22762;27055;31113;19;10;14
"....Ilocos Norte 2/, b/, c/, d/";23505;26711;31031;8;4;3
"....Ilocos Sur 1/, 2/, b/";23555;24603;32752;14;7;15
"....La Union 1/, 2/, c/";21893;22456;27909;18;4;9
"....Pangasinan 1/, 2/";22799;27828;31240;23;13;18
"..Region II (Cagayan Valley)";22622;25099;28292;18;16;15
"....Batanes 1/, 2/, a/, d/";31422;37540;35550;14;10;3
"....Cagayan 2/";21479;24759;26954;17;16;10
"....Isabela";23365;25460;29452;18;17;20
"....Nueva Vizcaya b/";23250;24857;25514;15;16;15
"....Quirino 1/, 2/, b/";21602;23580;27060;28;13;9
"..Region III (Central Luzon) 1/, 2/";22867;26954;31584;11;7;11
"....Aurora 1/, 2/, a/";22665;25219;30282;34;16;22
"....Bataan 1/, 2/, b/";23127;29496;31046;1;8;12
"....Bulacan 2/, b/";21181;27244;33591;4;5;11
"....Nueva Ecija 1/, 2/";23006;25466;29751;21;9;14
"....Pampanga 2/, b/, c/";21686;26633;33122;5;3;5
"....Tarlac 1/";22344;25386;29704;17;10;12
"....Zambales 2/";26983;29977;33383;17;15;24
"..Region IV-A (CALABARZON) 1/, 2/";25642;27928;31059;12;7;10
"....Batangas 1/, 2/";30086;33068;30828;22;11;6
"....Cavite 1/, 2/";27394;29157;35843;9;5;10
"....Laguna 2/, b/";21278;23688;29892;5;4;10
"....Quezon 1/, 2/";20962;22805;27151;24;13;22
"....Rizal 2/";25126;28647;32217;6;4;7
"..MIMAROPA Region 1/, 2/";20369;23315;26321;25;15;21
"....Marinduque 2/, b/";19951;24054;26959;17;15;22
"....Occidental Mindoro 1/, 2/";20064;21341;26661;42;22;30
"....Oriental Mindoro 1/, 2/";20345;24470;26265;22;11;18
"....Palawan b/";19709;23425;24127;18;12;14
"....Romblon 1/, 2/";21897;24087;28749;39;28;40
"..Region V (Bicol Region) 1/";22503;24461;27675;40;27;29
"....Albay";22328;24902;27346;26;21;20
"....Camarines Norte 1/, 2/";23940;25051;27571;44;30;22
"....Camarines Sur 1/, 2/";22874;24271;28651;37;28;39
"....Catanduanes 1/";21668;24380;28014;43;20;24
"....Masbate 1/, 2/";20406;22911;25545;45;33;28
"....Sorsogon 1/";23268;26069;27133;57;26;30
"..Region VI (Western Visayas) 1/, 2/";21921;24494;27083;25;16;19
"....Aklan 2/, b/";22184;23745;26837;16;12;20
"....Antique b/";20672;24023;26633;26;19;24
"....Capiz 2/, b/";20866;22669;26692;12;6;9
"....Guimaras a/, b/";23327;25899;27090;5;9;10
"....Iloilo 1/";22898;26113;27821;22;16;18
"....Negros Occidental 1/";21577;23692;26782;33;19;22
"..Region VII (Central Visayas) 1/, 2/";22644;25745;31220;29;18;28
"....Bohol 1/";22634;26108;26853;31;21;24
"....Cebu 1/, 2/";23061;25914;33657;24;15;29
"....Negros Oriental 1/";22077;25113;26024;43;26;29
"....Siquijor 1/, 2/, a/, d/";21563;25649;25603;51;10;3
"..Region VIII (Eastern Visayas) 1/";22398;24987;26848;41;31;29
"....Biliran 2/, b/";21372;24216;28293;21;20;27
"....Eastern Samar 2/";25358;29070;28924;52;49;38
"....Leyte";21412;23574;26570;33;28;28
"....Northern Samar 1/, 2/";22775;25971;26572;60;34;26
"....Southern Leyte 1/";23968;25756;28799;41;24;22
"....Samar 1/";21298;23131;25259;49;29;34
"..Region IX (Zamboanga Peninsula) 1/";22557;25650;28739;38;33;30
"....Zamboanga del Norte 1/";24377;28523;33799;61;45;51
"....Zamboanga del Sur 2/";20444;23977;24066;25;24;18
"....Zamboanga Sibugay";21331;23054;24708;36;35;34
"....Isabela City 2/, a/, b/";22544;25870;23925;30;51;17
"..Region X (Northern Mindanao) 1/, 2/";23020;24835;28836;39;23;26
"....Bukidnon 1/";23993;25624;29040;54;28;29
"....Camiguin a/, b/";23908;26042;28514;36;24;21
"....Lanao del Norte 1/, 2/";22485;24450;28589;46;26;34
"....Misamis Occidental 1/";22261;24505;30062;45;27;25
"....Misamis Oriental 1/, 2/";22117;24118;28270;21;16;19
"..Region XI (Davao Region) 1/, 2/";23146;25953;28102;24;19;17
"....Davao del Norte 1/";23807;27034;27354;31;13;11
"....Davao del Sur 1/";23215;25807;29749;19;12;10
"....Davao Oriental 2/";22889;26347;27806;31;38;30
"....Davao de Oro";22092;25867;26161;27;25;24
"....Davao Occidental e/";..;25356;28511;..;41;43
"..Region XII (SOCCSKSARGEN) 1/";21341;25023;26443;38;28;28
"....Cotabato 1/";21237;25020;27473;43;29;32
"....Sarangani 1/";20037;23282;24070;53;42;41
"....South Cotabato";21356;25240;24455;23;18;17
"....Sultan Kudarat 1/";21212;23775;25295;50;31;30
"....Cotabato City a/";25581;30349;33890;49;42;40
"..Region XIII (Caraga) 1/, 2/";22788;25375;27335;40;31;33
"....Agusan del Norte 1/, 2/";20566;23775;27722;33;24;31
"....Agusan del Sur 1/";23108;24655;27821;48;38;41
"....Surigao Del Norte 2/";24662;28293;26444;37;34;28
"....Surigao Del Sur 1/, 2/";22859;24873;26441;41;25;31
"....Dinagat Islands b/";24257;26409;28907;44;33;33
"..Autonomous Region in Muslim Mindanao/ Bangsamoro Autonomous Region in Muslim Mindanao (ARMM/BARMM) 2/";22650;27715;28293;59;62;37
"....Basilan 1/, 2/";21472;26951;26728;45;74;54
"....Lanao del Sur 2/";24421;29224;29083;77;71;11
"....Maguindanao 2/";20399;25368;25371;54;49;38
"....Sulu 1/, 2/";23115;29150;31782;69;82;63
"....Tawi-tawi 2/, b/";17666;21264;26336;18;22;37
"Special Computation:";..;..;..;..;..;..
"Region 9 excluding Isabela City";..;..;28836;..;..;31
"Region 12 excluding Cotabato City";..;..;25722;..;..;27
"BARMM including Isabela City and Cotabato City";..;..;28635;..;..;37
