"Table 13. Poverty Incidence among Families and Population in Luzon, Visayas and Mindanao: 2015, 2018, and 2021p"

"Major Island Group";"Year";"Poverty Incidence among Families (%)";"Poverty Incidence among Population (%)"
"PHILIPPINES*";"2015";18.0;23.5
"PHILIPPINES*";"2018";12.1;16.7
"PHILIPPINES*";"2021p";13.2;18.1
"Luzon*";"2015";10.9;14.8
"Luzon*";"2018";6.6;9.3
"Luzon*";"2021p";8.5;12.0
"NCR*";"2015";2.8;4.1
"NCR*";"2018";1.4;2.2
"NCR*";"2021p";2.2;3.5
"Rest of Luzon*";"2015";13.3;17.9
"Rest of Luzon*";"2018";8.1;11.4
"Rest of Luzon*";"2021p";10.4;14.5
"Visayas*";"2015";24.2;30.2
"Visayas*";"2018";15.2;20.2
"Visayas*";"2021p";18.9;24.6
"Mindanao*";"2015";30.9;38.7
"Mindanao*";"2018";23.8;31.6
"Mindanao*";"2021p";20.5;27.7
